AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
-1.42,0.10,6.87,-0.12,-0.16,-0.28,1721201233141
-1.19,1.60,10.30,-0.06,-0.01,-0.28,1721201233146
-3.85,0.58,7.85,-0.12,-0.23,-0.17,1721201233156
-3.15,1.09,8.92,-0.03,0.05,-0.06,1721201233166
-1.35,2.59,9.51,-0.03,-0.04,-0.11,1721201233176
-4.05,3.81,11.14,-0.13,-0.18,-0.24,1721201233186
-4.75,0.27,13.56,-0.11,-0.14,-0.09,1721201233196
-3.81,2.73,14.32,0.05,-0.17,0.19,1721201233206
0.29,2.81,8.82,-0.04,-0.09,0.20,1721201233216
1.30,5.85,16.26,0.00,-0.04,-0.09,1721201233226
-0.06,6.54,15.37,0.18,-0.20,-0.30,1721201233236
-3.00,-7.75,-5.16,0.16,-0.43,-0.12,1721201233246
-4.07,9.00,11.82,-0.14,0.36,0.07,1721201233256
-1.22,3.40,18.06,-0.29,0.86,0.08,1721201233266
-1.59,0.07,17.78,0.26,-0.41,-0.17,1721201233276
-2.88,2.65,-7.62,0.06,-0.27,-0.11,1721201233286
-1.33,3.23,8.52,-0.27,0.11,0.39,1721201233296
2.82,1.64,8.57,-0.10,-0.11,0.45,1721201233306
3.87,2.33,10.40,0.22,0.02,0.13,1721201233316
6.29,1.48,5.95,0.01,0.02,-0.14,1721201233326
2.84,-0.36,11.72,-0.11,-0.02,-0.18,1721201233336
-0.25,1.21,14.63,0.01,-0.02,-0.20,1721201233346
-2.86,0.98,12.85,0.10,-0.10,-0.06,1721201233356
-3.26,-0.36,2.31,0.11,-0.23,0.30,1721201233366
3.27,-0.60,10.17,-0.06,0.40,0.29,1721201233376
3.94,4.24,14.38,0.04,-0.11,-0.06,1721201233386
-0.80,8.66,12.92,0.08,0.14,-0.63,1721201233396
-6.71,2.17,10.09,0.04,-0.36,-0.26,1721201233406
-7.70,-0.92,4.07,-0.02,0.02,0.59,1721201233416
2.94,4.60,12.46,0.07,0.28,0.64,1721201233426
6.69,6.49,14.17,-0.07,-0.03,0.00,1721201233436
1.40,3.45,8.28,0.07,-0.25,-0.48,1721201233446
-2.53,-2.59,5.49,0.00,0.18,-0.39,1721201233456
-4.31,2.44,13.06,0.01,0.10,0.01,1721201233466
-3.53,4.92,11.11,0.04,-0.05,0.26,1721201233476
-0.05,2.09,14.68,0.06,0.13,0.17,1721201233486
-0.25,0.11,4.19,0.13,-0.25,-0.03,1721201233496
-1.80,-0.89,6.27,-0.32,0.26,-0.09,1721201233506
-0.55,5.59,21.67,0.14,-0.04,0.04,1721201233516
-4.31,-3.02,5.30,0.08,-0.47,0.23,1721201233526
-5.26,-2.74,2.90,0.00,0.00,0.16,1721201233536
2.88,2.09,8.82,-0.08,0.25,-0.01,1721201233546
3.45,1.18,14.38,-0.19,-0.15,-0.06,1721201233556
0.35,1.93,11.93,0.27,-0.10,-0.17,1721201233566
-1.03,1.95,5.06,-0.03,0.18,-0.22,1721201233576
-4.35,0.68,12.75,-0.18,0.05,0.09,1721201233586
-1.86,-0.24,12.35,-0.02,-0.12,0.23,1721201233596
-0.02,1.66,10.86,0.05,0.01,-0.00,1721201233606
-2.34,3.62,5.79,-0.05,-0.21,-0.22,1721201233616
-5.62,0.55,10.87,-0.12,-0.02,-0.17,1721201233626
-5.76,-2.93,10.87,0.00,-0.19,0.09,1721201233636
-4.16,2.71,10.42,0.18,0.00,0.24,1721201233646
0.59,1.26,8.29,-0.01,-0.13,0.26,1721201233656
0.48,-1.96,10.71,-0.06,-0.17,0.02,1721201233666
-0.62,-3.13,12.10,0.03,-0.17,-0.26,1721201233676
-4.24,3.63,9.74,0.25,-0.27,-0.27,1721201233686
-3.71,0.61,0.31,-0.14,-0.25,-0.04,1721201233696
-4.37,-1.82,17.40,-0.11,-0.13,0.01,1721201233706
-2.98,0.17,12.62,0.37,-0.40,-0.12,1721201233716
-3.69,3.44,7.92,-0.08,-0.24,-0.17,1721201233726
-7.10,5.70,8.56,0.06,-0.58,-0.12,1721201233736
-6.47,0.25,5.70,-0.18,-0.31,0.04,1721201233746
-6.20,1.67,15.85,0.02,-0.51,0.30,1721201233756
-2.13,3.24,8.20,0.13,-0.49,0.38,1721201233766
-0.74,7.52,6.65,-0.11,-0.54,0.24,1721201233776
-0.19,3.64,10.73,-0.14,-0.53,0.11,1721201233786
0.86,3.68,16.45,-0.00,-0.43,0.13,1721201233796
6.74,-1.61,12.48,-0.00,-0.62,0.77,1721201233806
15.68,-0.81,12.18,-0.16,0.55,0.85,1721201233816
18.99,3.60,14.68,-0.27,0.12,-0.44,1721201233826
5.23,0.02,5.40,-0.13,-0.76,-1.93,1721201233836
-10.69,-7.13,8.13,0.00,-0.49,-2.00,1721201233846
-26.81,-7.41,-0.12,-0.12,-0.80,-0.29,1721201233856
-19.66,-9.73,10.50,-0.21,0.13,1.48,1721201233866
4.56,-10.77,29.61,0.27,0.43,2.32,1721201233876
18.98,-6.82,9.00,0.18,0.08,1.75,1721201233886
22.67,0.09,10.62,-0.08,0.30,0.46,1721201233896
19.07,-5.08,12.39,-0.20,-0.41,-0.76,1721201233906
8.94,-9.84,9.69,0.05,-0.20,-1.01,1721201233916
3.82,-6.25,9.50,0.09,0.06,-0.69,1721201233926
3.02,-6.12,8.50,-0.07,0.26,-0.56,1721201233936
2.81,-2.79,13.58,0.07,0.16,-0.82,1721201233946
0.26,-7.05,14.04,-0.07,0.24,-1.14,1721201233956
-9.11,-2.90,12.38,0.13,-0.10,-1.09,1721201233966
-14.07,-6.98,2.60,-0.06,0.05,-0.65,1721201233976
-16.22,-2.45,9.65,-0.03,0.16,-0.10,1721201233986
-6.08,-8.83,14.93,0.14,0.02,0.67,1721201233996
3.31,-0.57,11.60,0.11,0.46,0.57,1721201234006
6.67,1.21,12.27,0.08,-0.08,-0.20,1721201234016
-1.43,1.16,-0.15,-0.03,-0.22,-1.08,1721201234026
-3.08,-2.36,11.38,0.03,0.11,-1.02,1721201234036
-3.39,-3.09,11.75,0.11,-0.16,-0.29,1721201234046
-2.28,-2.21,12.08,0.03,0.30,0.02,1721201234056
-0.45,-0.89,14.84,0.19,-0.14,-0.14,1721201234066
-0.54,-2.04,7.28,0.04,-0.02,-0.33,1721201234076
-3.09,-1.62,10.65,-0.03,-0.08,-0.44,1721201234086
-5.23,1.22,10.06,0.15,-0.09,-0.38,1721201234096
-3.63,-4.10,8.36,-0.09,-0.11,0.13,1721201234106
-0.77,-1.80,9.07,0.20,-0.12,0.48,1721201234116
4.91,0.91,7.20,0.01,0.20,0.11,1721201234126
1.37,3.01,13.07,-0.03,-0.24,-0.26,1721201234136
-2.02,-1.01,9.61,-0.10,-0.09,0.02,1721201234146
-1.84,-0.16,14.06,-0.03,-0.01,0.50,1721201234156
3.36,4.30,4.53,-0.23,0.07,0.38,1721201234166
2.38,2.67,11.70,-0.30,-0.14,0.08,1721201234176
1.57,0.92,9.07,-0.14,-0.12,0.15,1721201234186
0.49,5.17,7.76,-0.32,0.09,0.17,1721201234196
0.50,6.29,9.18,-0.25,-0.15,0.15,1721201234206
-0.11,3.10,7.56,-0.41,0.03,0.14,1721201234216
-0.29,6.03,11.65,-0.43,-0.03,0.28,1721201234226
2.30,4.83,11.90,-0.39,0.08,0.39,1721201234236
4.26,5.23,13.16,-0.30,0.10,0.26,1721201234246
5.09,4.23,10.97,-0.18,0.02,0.11,1721201234256
4.54,5.65,10.82,-0.13,0.14,-0.16,1721201234266
3.11,4.39,13.31,-0.13,-0.04,-0.30,1721201234276
0.44,2.73,10.67,0.00,-0.01,-0.25,1721201234286
0.76,1.53,10.65,-0.06,0.16,-0.12,1721201234296
0.14,0.28,9.41,0.03,-0.01,-0.08,1721201234306
0.48,1.91,7.96,0.03,0.19,-0.24,1721201234316
0.32,0.09,10.28,-0.02,0.07,-0.29,1721201234326
-0.75,-1.88,10.43,-0.08,0.17,-0.23,1721201234336
-0.60,0.27,11.34,0.00,0.18,-0.19,1721201234346
1.23,-1.06,10.03,-0.06,0.20,-0.18,1721201234356
0.04,-2.32,9.03,-0.06,0.10,-0.26,1721201234366
0.29,-1.02,10.29,-0.06,0.30,-0.39,1721201234376
-0.15,-0.65,10.01,-0.04,0.16,-0.38,1721201234386
-2.61,0.19,10.11,-0.05,0.14,-0.32,1721201234396
-1.24,-1.16,11.03,0.01,0.26,-0.37,1721201234406
-1.47,-1.74,9.46,-0.06,0.15,-0.26,1721201234416
-1.13,-0.97,10.51,-0.02,0.22,-0.24,1721201234426
-1.29,0.06,9.43,0.08,0.10,-0.30,1721201234436
-0.51,-0.08,9.22,-0.02,0.25,-0.29,1721201234446
-0.57,-2.09,11.57,0.00,0.10,-0.27,1721201234456
-1.44,-1.12,11.00,0.03,0.19,-0.29,1721201234466
-1.17,-0.77,9.86,0.12,0.08,-0.31,1721201234476
-1.15,-0.03,11.03,0.06,0.23,-0.31,1721201234486
-2.01,1.09,10.78,0.21,0.07,-0.31,1721201234496
-0.93,0.10,9.21,0.12,0.24,-0.33,1721201234506
-1.84,1.14,12.32,0.13,0.13,-0.42,1721201234516
-3.19,0.34,10.71,0.11,0.13,-0.44,1721201234526
-3.77,-1.26,9.61,0.11,0.10,-0.39,1721201234536
-3.82,-0.60,11.75,0.13,0.12,-0.31,1721201234546
-2.55,0.70,10.44,0.24,0.06,-0.21,1721201234556
-2.04,1.16,8.78,0.25,0.06,-0.20,1721201234566
-1.15,1.07,10.11,0.14,0.11,-0.19,1721201234576
-1.42,2.21,11.12,0.22,0.01,-0.24,1721201234586
-1.82,0.07,8.32,0.14,0.01,-0.23,1721201234596
-2.63,0.23,10.48,0.15,-0.01,-0.12,1721201234606
-1.78,0.97,10.12,0.26,-0.00,0.04,1721201234616
-0.22,-1.46,9.20,0.17,0.01,0.04,1721201234626
0.77,0.50,10.56,0.18,0.02,-0.06,1721201234636
1.61,1.13,10.69,0.19,0.04,-0.16,1721201234646
0.54,-0.23,9.44,0.10,0.02,-0.21,1721201234656
-0.62,0.48,8.82,0.15,0.07,-0.22,1721201234666
-0.49,-0.93,9.32,0.05,0.09,-0.17,1721201234676
-1.56,1.26,10.95,0.09,0.02,-0.05,1721201234686
0.46,1.92,10.60,0.09,0.11,-0.01,1721201234696
0.94,0.69,8.58,0.01,-0.05,-0.03,1721201234706
1.12,-1.03,10.40,-0.10,0.14,-0.20,1721201234716
-0.62,-0.19,11.82,-0.06,-0.01,-0.31,1721201234726
-2.93,0.72,7.90,-0.04,0.01,-0.22,1721201234736
-2.51,-0.45,9.66,-0.10,0.11,-0.06,1721201234746
-1.70,0.56,8.42,-0.01,0.02,0.06,1721201234756
-0.93,-0.48,8.28,-0.22,0.09,-0.08,1721201234766
-1.84,0.17,12.46,-0.20,-0.01,-0.13,1721201234776
-3.33,0.22,9.85,-0.23,-0.03,-0.00,1721201234786
-2.13,-1.51,11.37,-0.25,0.06,0.16,1721201234796
0.03,-1.29,11.83,-0.21,0.01,0.18,1721201234806
1.43,-1.58,10.30,-0.22,-0.02,0.12,1721201234816
1.30,-0.74,9.85,-0.15,-0.03,0.04,1721201234826
-1.75,0.67,9.49,-0.23,-0.06,-0.12,1721201234836
-3.24,1.16,10.08,-0.20,-0.01,-0.06,1721201234846
-3.51,-3.02,7.80,-0.15,-0.20,0.19,1721201234856
-0.93,-2.80,8.51,-0.19,0.02,0.35,1721201234866
1.47,-3.11,12.41,-0.25,-0.07,0.37,1721201234876
-0.19,2.91,12.60,-0.10,-0.01,0.18,1721201234886
0.95,0.25,10.04,-0.22,-0.11,-0.01,1721201234896
-1.74,-0.22,13.29,-0.25,-0.12,-0.07,1721201234906
1.89,-0.93,12.99,-0.03,-0.08,0.15,1721201234916
-0.18,-2.86,5.06,-0.04,-0.23,0.26,1721201234926
0.17,-3.04,9.75,-0.18,0.22,0.05,1721201234936
-1.04,3.59,13.75,-0.00,-0.14,-0.10,1721201234946
-0.99,-4.17,7.58,-0.07,-0.12,-0.01,1721201234956
0.53,-0.86,15.38,-0.07,0.15,0.12,1721201234966
0.49,2.13,13.56,0.16,-0.26,0.30,1721201234976
0.38,-3.48,6.57,-0.00,0.09,0.32,1721201234986
