AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
-0.90,0.77,10.47,-0.02,-0.10,0.01,1721228590128
-1.13,0.68,10.28,-0.00,-0.13,0.02,1721228590133
-0.44,1.12,10.28,-0.01,-0.11,0.01,1721228590143
-0.38,1.06,9.76,-0.00,-0.11,-0.04,1721228590153
-0.90,0.49,10.22,-0.01,-0.11,-0.07,1721228590163
-1.14,0.54,10.32,-0.00,-0.13,-0.05,1721228590173
-1.04,1.06,10.33,-0.02,-0.10,-0.01,1721228590183
-0.79,0.92,10.39,-0.00,-0.08,0.00,1721228590193
-0.50,0.97,10.14,0.00,-0.06,-0.06,1721228590203
-0.67,0.51,10.18,0.00,-0.09,-0.08,1721228590213
-1.28,1.29,9.96,-0.01,-0.08,-0.08,1721228590223
-1.60,0.41,10.13,0.01,-0.07,-0.05,1721228590233
-0.88,1.03,10.90,-0.01,-0.04,-0.01,1721228590243
-1.26,1.87,10.73,-0.01,-0.03,0.02,1721228590253
-0.31,2.80,10.50,-0.02,-0.06,-0.00,1721228590263
-0.29,1.47,10.06,0.00,-0.01,-0.02,1721228590273
-0.57,1.36,9.71,-0.02,-0.13,-0.04,1721228590283
-0.95,2.09,10.30,-0.02,0.01,-0.07,1721228590293
-0.51,0.81,9.63,-0.01,-0.03,-0.04,1721228590303
-0.49,1.12,10.29,0.00,-0.00,-0.01,1721228590313
-0.42,1.35,10.22,-0.01,-0.01,-0.01,1721228590323
-0.22,1.18,10.50,-0.00,0.00,-0.04,1721228590333
-0.71,1.19,10.27,0.01,-0.02,-0.07,1721228590343
-1.18,1.22,9.94,0.01,0.00,-0.07,1721228590353
-1.40,1.18,10.44,0.01,-0.00,-0.06,1721228590363
-1.44,0.90,10.04,0.00,0.01,-0.04,1721228590373
-1.30,1.18,10.11,0.01,0.02,-0.04,1721228590383
-1.47,1.25,10.09,-0.00,0.02,-0.06,1721228590393
-1.72,1.12,10.29,0.00,-0.00,-0.07,1721228590403
-2.04,1.08,10.28,0.01,-0.00,-0.05,1721228590413
-1.96,1.26,9.96,0.01,0.01,-0.02,1721228590423
-1.89,1.39,9.94,-0.00,-0.01,-0.02,1721228590433
-1.80,1.14,9.84,0.01,-0.02,-0.04,1721228590443
-2.08,1.19,9.95,0.01,-0.03,-0.04,1721228590453
-1.99,1.32,10.19,-0.00,-0.03,-0.04,1721228590463
-2.27,1.16,10.16,-0.01,-0.05,-0.04,1721228590473
-2.49,1.23,10.16,0.01,-0.06,-0.06,1721228590483
-2.55,1.15,9.71,0.00,-0.06,-0.04,1721228590493
-2.64,1.44,10.00,-0.01,-0.08,-0.02,1721228590503
-2.71,1.21,9.97,-0.00,-0.10,-0.03,1721228590513
-2.25,1.09,9.93,0.00,-0.09,-0.01,1721228590523
-2.02,1.24,10.41,-0.01,-0.11,0.01,1721228590533
-1.74,0.83,10.41,-0.01,-0.13,0.00,1721228590543
-1.80,1.02,10.46,0.00,-0.14,-0.03,1721228590553
-2.07,1.35,9.49,-0.01,-0.18,-0.06,1721228590563
-2.30,1.18,10.21,-0.01,-0.18,-0.05,1721228590573
-2.46,0.66,10.27,-0.01,-0.19,-0.01,1721228590583
-1.77,1.28,10.05,-0.00,-0.19,0.02,1721228590593
-0.84,1.51,9.25,-0.02,-0.19,0.00,1721228590603
-1.31,1.39,9.51,-0.04,-0.24,-0.02,1721228590613
-1.45,0.87,11.37,0.03,-0.22,-0.03,1721228590623
-1.50,-0.63,10.41,0.00,-0.23,-0.02,1721228590633
-1.74,0.19,9.41,-0.01,-0.26,0.03,1721228590643
-1.13,0.03,11.71,-0.04,-0.08,0.03,1721228590653
-0.85,-0.06,10.48,0.05,-0.33,-0.00,1721228590663
0.52,1.03,8.58,-0.06,-0.06,-0.03,1721228590673
-1.71,1.70,9.90,-0.02,-0.43,-0.02,1721228590683
-1.62,0.28,11.28,-0.02,-0.18,-0.06,1721228590693
-0.91,1.05,9.84,0.01,-0.23,-0.07,1721228590703
-1.79,1.50,9.60,-0.03,-0.26,-0.01,1721228590713
-1.25,1.69,10.35,-0.01,-0.23,0.04,1721228590723
-0.36,1.11,10.82,0.03,-0.20,0.03,1721228590733
-0.51,1.01,7.92,-0.02,-0.28,-0.02,1721228590743
-1.15,1.33,9.16,-0.05,-0.25,-0.04,1721228590753
-0.88,0.61,11.97,-0.00,-0.22,-0.01,1721228590763
0.18,0.88,11.99,0.02,-0.39,-0.01,1721228590773
2.71,1.86,7.38,-0.05,-0.30,-0.08,1721228590783
-1.96,-1.19,11.43,0.02,-0.40,-0.02,1721228590793
-4.25,1.29,7.52,-0.05,-0.21,-0.05,1721228590803
-0.79,1.75,11.78,-0.01,-0.25,0.04,1721228590813
0.70,0.27,8.54,-0.06,-0.24,0.08,1721228590823
-0.13,2.09,12.31,-0.06,-0.30,0.03,1721228590833
0.32,-0.13,8.93,-0.01,-0.33,-0.04,1721228590843
-0.48,0.64,10.59,-0.02,-0.26,-0.07,1721228590853
-1.55,0.19,10.37,-0.00,-0.29,0.03,1721228590863
-0.10,0.54,10.45,-0.03,-0.30,0.13,1721228590873
0.49,0.18,10.37,-0.01,-0.20,0.07,1721228590883
1.03,1.13,9.49,-0.03,-0.25,-0.08,1721228590893
1.60,1.35,12.33,-0.03,-0.16,-0.09,1721228590903
0.99,0.79,10.88,-0.01,-0.25,-0.01,1721228590913
-0.16,-0.41,10.70,-0.04,-0.18,-0.08,1721228590923
