AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
2.57,0.29,11.52,0.06,-0.17,0.26,1721206754141
5.53,-4.90,9.64,0.01,-0.37,0.34,1721206754146
8.82,2.88,5.20,0.10,0.13,0.44,1721206754156
15.04,-0.34,9.26,-0.12,0.33,-0.14,1721206754166
7.58,-2.93,13.80,0.06,-0.24,-1.09,1721206754176
-6.68,-2.82,8.75,0.16,-0.20,-1.38,1721206754186
-17.56,1.17,7.14,0.05,-0.11,-0.64,1721206754196
-17.32,0.49,11.88,-0.07,0.00,0.42,1721206754206
-7.87,-1.01,13.40,-0.09,-0.09,1.04,1721206754216
4.42,0.62,12.79,0.04,0.10,0.99,1721206754226
12.61,1.88,5.20,-0.06,0.04,0.53,1721206754236
12.75,0.07,9.40,-0.18,0.12,-0.18,1721206754246
11.04,3.32,11.08,0.27,0.09,-0.56,1721206754256
5.32,2.43,3.58,-0.06,-0.04,-0.83,1721206754266
-5.76,3.88,11.40,-0.07,-0.09,-0.83,1721206754276
-8.04,-2.20,9.22,-0.08,0.00,-0.29,1721206754286
-8.16,4.45,15.73,0.01,0.15,0.21,1721206754296
-5.21,5.68,8.61,-0.04,-0.01,0.29,1721206754306
-3.64,3.17,11.10,-0.21,-0.05,0.31,1721206754316
-1.08,1.60,10.57,-0.12,-0.03,0.48,1721206754326
2.19,-1.46,8.51,-0.13,-0.05,0.52,1721206754336
3.76,2.45,9.78,-0.07,-0.03,0.31,1721206754346
4.21,2.11,10.50,-0.02,-0.05,0.05,1721206754356
1.07,3.46,11.58,-0.06,-0.06,-0.05,1721206754366
-0.79,-0.47,10.95,-0.10,-0.08,0.02,1721206754376
-1.98,1.31,11.82,-0.07,0.00,0.14,1721206754386
-1.40,-0.02,7.81,-0.07,-0.04,0.16,1721206754396
-2.43,-1.78,9.98,-0.11,-0.03,0.06,1721206754406
-3.14,-0.24,12.14,0.00,-0.07,0.13,1721206754416
-2.56,-0.59,9.88,-0.05,-0.05,0.32,1721206754426
-0.09,0.20,9.27,-0.05,-0.04,0.36,1721206754436
1.40,-2.53,10.04,-0.12,-0.02,0.15,1721206754446
0.08,-0.27,10.79,-0.03,-0.10,-0.07,1721206754456
-1.95,-1.67,9.67,-0.07,-0.10,0.03,1721206754466
-3.07,-1.19,9.80,-0.08,-0.12,0.24,1721206754476
-1.86,-2.01,10.67,-0.09,-0.10,0.34,1721206754486
0.25,-0.98,11.45,-0.10,-0.10,0.30,1721206754496
0.67,0.76,10.97,-0.02,-0.18,0.25,1721206754506
0.42,0.66,9.59,-0.09,-0.13,0.21,1721206754516
-0.40,1.41,10.72,-0.02,-0.15,0.23,1721206754526
0.20,-0.03,10.47,-0.06,-0.13,0.30,1721206754536
0.59,-0.19,9.44,-0.09,-0.16,0.28,1721206754546
0.53,0.26,11.38,-0.09,-0.17,0.22,1721206754556
-0.12,0.32,9.36,-0.04,-0.22,0.23,1721206754566
-0.94,-1.12,9.53,-0.02,-0.22,0.31,1721206754576
-0.47,0.80,10.14,0.03,-0.16,0.35,1721206754586
0.25,-0.73,9.50,0.03,-0.21,0.37,1721206754596
0.17,1.95,11.22,0.05,-0.16,0.30,1721206754606
0.05,-1.70,7.96,0.08,-0.30,0.37,1721206754616
0.28,-0.43,11.90,-0.05,-0.14,0.34,1721206754626
1.20,0.53,10.64,0.08,-0.27,0.38,1721206754636
1.65,1.08,11.38,0.02,-0.17,0.34,1721206754646
1.92,0.34,9.08,0.16,-0.23,0.25,1721206754656
1.07,-0.75,7.93,-0.01,-0.19,0.18,1721206754666
0.54,1.72,11.78,0.09,-0.16,0.20,1721206754676
0.84,1.87,9.47,0.10,-0.18,0.23,1721206754686
1.85,0.48,8.93,-0.00,-0.13,0.23,1721206754696
1.82,-0.91,10.59,-0.03,-0.18,0.16,1721206754706
1.59,-0.68,13.78,-0.03,-0.13,0.08,1721206754716
1.33,-1.04,9.79,0.10,-0.19,0.09,1721206754726
1.46,-0.55,9.22,0.00,-0.05,0.11,1721206754736
1.33,0.17,11.02,0.03,-0.09,0.03,1721206754746
0.91,0.18,11.56,0.03,-0.11,-0.04,1721206754756
1.38,1.26,11.08,0.03,-0.12,0.04,1721206754766
2.09,-0.85,8.45,0.01,-0.10,0.03,1721206754776
2.20,0.71,10.26,0.04,-0.07,-0.14,1721206754786
1.26,-1.58,9.56,-0.04,-0.05,-0.32,1721206754796
-2.38,0.69,13.05,0.06,-0.13,-0.32,1721206754806
-3.58,-0.68,8.56,0.09,-0.10,-0.16,1721206754816
-2.15,-1.71,10.50,-0.01,-0.02,0.01,1721206754826
0.04,1.61,15.51,0.11,-0.01,-0.03,1721206754836
1.67,0.65,7.85,0.14,-0.09,-0.13,1721206754846
1.52,1.87,9.11,0.03,-0.06,-0.21,1721206754856
1.89,1.33,10.46,0.03,-0.00,-0.32,1721206754866
0.40,0.14,5.78,0.06,-0.16,-0.29,1721206754876
0.76,0.36,11.06,-0.13,0.15,-0.26,1721206754886
1.75,-0.12,11.89,-0.00,-0.08,-0.24,1721206754896
2.12,0.66,9.17,-0.03,-0.01,-0.31,1721206754906
1.92,-0.45,9.15,-0.03,0.02,-0.43,1721206754916
-0.84,-0.30,10.65,-0.03,-0.05,-0.52,1721206754926
-2.43,-0.12,10.55,-0.04,0.02,-0.43,1721206754936
-1.77,-2.47,10.54,-0.09,0.02,-0.22,1721206754946
-1.00,0.18,11.82,-0.01,-0.04,-0.14,1721206754956
1.29,-0.34,8.83,-0.06,0.01,-0.22,1721206754966
1.58,-0.45,9.96,-0.05,-0.04,-0.31,1721206754976
1.88,-1.24,7.64,-0.07,0.04,-0.37,1721206754986
1.56,-1.22,9.35,-0.11,0.07,-0.42,1721206754996
1.35,-0.04,11.81,-0.12,0.11,-0.48,1721206755006
0.42,1.32,10.32,-0.06,0.01,-0.47,1721206755016
0.19,0.51,9.15,-0.18,0.11,-0.44,1721206755026
0.04,-0.19,10.77,-0.14,0.03,-0.39,1721206755036
0.34,0.55,10.59,-0.15,0.14,-0.46,1721206755046
0.40,1.96,11.44,-0.16,0.11,-0.52,1721206755056
-0.10,1.53,10.37,-0.09,0.12,-0.48,1721206755066
0.69,0.27,9.25,-0.11,0.20,-0.49,1721206755076
0.29,-0.17,12.25,-0.12,0.10,-0.61,1721206755086
-1.52,4.22,11.01,0.15,0.00,-0.63,1721206755096
-1.98,0.15,5.34,-0.02,0.12,-0.54,1721206755106
-3.00,-0.23,12.57,-0.09,0.12,-0.49,1721206755116
-1.51,1.54,9.24,0.11,0.13,-0.48,1721206755126
0.06,-1.48,7.23,-0.11,0.19,-0.52,1721206755136
-1.89,1.42,14.20,-0.03,0.13,-0.58,1721206755146
-0.85,-0.76,12.53,0.04,0.15,-0.50,1721206755156
-1.37,-1.15,9.87,0.10,0.04,-0.40,1721206755166
0.12,-2.19,8.13,0.00,0.23,-0.49,1721206755176
0.09,-0.90,13.02,0.04,0.14,-0.61,1721206755186
-1.15,2.89,11.51,0.18,0.15,-0.61,1721206755196
-0.36,1.21,9.34,0.02,0.27,-0.59,1721206755206
-1.74,-0.18,12.28,0.01,0.08,-0.51,1721206755216
-0.80,-0.86,9.40,0.09,0.19,-0.45,1721206755226
-0.27,-2.24,8.24,0.07,0.07,-0.34,1721206755236
-2.33,-0.68,8.39,0.13,0.01,-0.43,1721206755246
-0.90,-0.30,11.40,0.09,0.37,-0.53,1721206755256
-0.07,0.12,13.12,0.03,0.21,-0.42,1721206755266
-1.01,0.64,11.47,0.02,0.14,-0.33,1721206755276
-0.85,0.90,11.07,0.11,0.16,-0.34,1721206755286
-1.29,-0.85,8.86,0.11,0.05,-0.32,1721206755296
-1.89,-1.72,7.98,0.10,0.08,-0.26,1721206755306
-1.02,-2.64,8.65,0.08,0.15,-0.24,1721206755316
-0.59,-0.70,12.02,0.08,0.17,-0.25,1721206755326
0.01,0.42,10.19,0.06,0.28,-0.25,1721206755336
0.35,0.43,10.90,0.04,0.16,-0.25,1721206755346
-0.61,1.32,12.30,0.05,0.08,-0.15,1721206755356
-0.67,0.12,12.05,-0.03,0.05,-0.11,1721206755366
-1.75,-1.33,9.43,0.11,-0.14,-0.05,1721206755376
-1.21,-2.76,4.74,0.03,0.11,0.00,1721206755386
-0.90,-3.45,7.98,-0.06,0.12,-0.10,1721206755396
-1.17,-2.94,8.56,0.07,0.11,-0.15,1721206755406
1.14,-2.48,11.42,-0.02,0.34,-0.10,1721206755416
-0.46,0.99,13.65,0.10,0.03,-0.01,1721206755426
-0.18,2.26,10.76,0.08,0.16,0.05,1721206755436
0.82,1.79,10.90,0.10,-0.08,0.09,1721206755446
-0.94,-0.63,6.48,0.10,-0.12,0.06,1721206755456
-1.84,-2.37,7.72,0.10,0.03,0.01,1721206755466
-2.29,-1.64,8.04,0.13,-0.06,0.07,1721206755476
-2.03,-0.46,9.38,0.09,0.06,0.19,1721206755486
-0.46,-0.09,10.84,0.08,0.06,0.22,1721206755496
0.72,-1.94,9.39,-0.03,0.06,0.16,1721206755506
0.40,-1.57,12.16,0.01,-0.01,0.10,1721206755516
0.50,-1.08,10.94,0.04,0.03,0.10,1721206755526
0.01,0.41,13.42,0.02,0.03,0.09,1721206755536
-0.65,1.12,10.36,0.14,-0.11,0.14,1721206755546
-0.40,0.55,8.89,-0.03,-0.01,0.18,1721206755556
0.56,1.21,13.77,-0.02,-0.00,0.16,1721206755566
0.50,0.09,10.37,0.04,-0.10,0.05,1721206755576
-0.04,-0.11,10.97,-0.03,-0.01,-0.03,1721206755586
-0.29,1.66,11.26,0.09,-0.05,-0.02,1721206755596
-0.63,0.18,7.09,0.03,-0.10,0.01,1721206755606
-0.84,0.64,9.57,0.00,-0.06,-0.01,1721206755616
0.44,1.60,10.41,0.08,-0.01,-0.02,1721206755626
1.49,0.31,10.38,0.03,-0.03,-0.06,1721206755636
0.89,1.07,11.11,0.05,-0.07,-0.14,1721206755646
0.09,0.24,8.07,0.03,-0.04,-0.27,1721206755656
-0.81,0.34,10.05,-0.00,-0.02,-0.26,1721206755666
-1.43,0.19,8.54,0.06,-0.06,-0.13,1721206755676
-0.71,0.21,9.31,-0.01,0.04,-0.09,1721206755686
0.26,-0.06,10.10,0.02,-0.07,-0.08,1721206755696
0.22,0.13,10.21,-0.05,-0.06,-0.19,1721206755706
-0.61,0.04,11.31,-0.05,-0.12,-0.26,1721206755716
-1.79,0.96,10.37,0.03,-0.11,-0.18,1721206755726
-2.32,-1.59,6.03,-0.08,-0.08,-0.12,1721206755736
-2.11,1.61,12.77,-0.07,-0.03,-0.04,1721206755746
-1.26,1.77,7.79,0.02,-0.16,0.00,1721206755756
-1.28,1.36,10.99,-0.21,0.03,-0.07,1721206755766
-0.87,0.84,12.65,-0.06,-0.15,0.01,1721206755776
-0.12,-0.70,7.97,-0.17,-0.09,0.07,1721206755786
0.45,0.41,10.49,-0.12,-0.11,0.04,1721206755796
2.05,0.77,9.36,-0.09,-0.05,-0.02,1721206755806
2.13,0.06,9.77,-0.12,-0.09,-0.04,1721206755816
1.12,-0.31,9.38,-0.14,-0.15,-0.08,1721206755826
1.28,-0.86,10.99,-0.16,-0.09,-0.12,1721206755836
0.67,-0.47,11.24,-0.16,-0.10,-0.18,1721206755846
-0.41,-1.14,10.34,-0.16,-0.12,-0.14,1721206755856
-1.96,-0.78,9.11,-0.16,-0.14,-0.13,1721206755866
-1.82,-1.83,7.86,-0.20,-0.11,-0.09,1721206755876
-0.72,-1.68,10.49,-0.22,-0.03,-0.02,1721206755886
0.07,-1.55,11.16,-0.22,-0.12,0.07,1721206755896
0.66,0.48,12.28,-0.21,-0.07,-0.03,1721206755906
1.03,1.36,12.28,-0.19,-0.12,-0.12,1721206755916
0.30,0.95,9.66,-0.28,-0.11,-0.16,1721206755926
-0.99,0.25,10.78,-0.27,-0.14,-0.15,1721206755936
-1.26,0.74,9.79,-0.24,-0.10,-0.16,1721206755946
-0.72,0.22,11.15,-0.25,-0.07,-0.14,1721206755956
0.45,1.94,13.46,-0.18,-0.08,-0.07,1721206755966
