timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label,bumpiness
14:39:08.879,-0.35,2.95,11.24,0.02,0.03,0.05,asphalt,normal
14:39:08.989,0.06,3.29,10.65,-0.01,0.05,0.06,asphalt,normal
14:39:09.095,-1.49,3.19,10.19,0.02,0.0,0.02,asphalt,normal
14:39:09.200,-0.82,3.37,10.81,0.0,0.04,0.02,asphalt,normal
14:39:09.316,-1.13,2.97,10.44,0.01,0.0,0.02,asphalt,normal
14:39:09.422,-0.4,2.36,10.89,0.0,0.02,0.07,asphalt,normal
14:39:09.534,-0.32,2.66,10.06,0.03,-0.02,0.09,asphalt,normal
14:39:09.643,-0.87,1.78,9.81,0.02,-0.02,0.11,asphalt,normal
14:39:09.758,-0.67,2.21,12.15,0.04,-0.05,0.12,asphalt,normal
14:39:09.867,-0.79,1.09,8.66,0.0,0.01,0.12,asphalt,normal
14:39:09.975,-0.69,1.81,10.24,0.05,0.0,0.1,asphalt,normal
14:39:10.088,-0.9,2.26,12.9,0.03,0.0,0.1,asphalt,normal
14:39:10.195,-0.41,0.72,8.61,-0.0,0.02,0.11,asphalt,normal
14:39:10.302,0.48,0.88,11.95,0.04,-0.02,0.11,asphalt,normal
14:39:10.409,1.35,0.14,9.28,0.0,0.01,0.18,asphalt,normal
14:39:10.523,0.54,0.74,9.73,0.07,-0.05,0.17,asphalt,normal
14:39:10.635,0.71,-0.04,12.35,-0.01,0.02,0.21,asphalt,normal
14:39:10.744,-0.16,-0.02,9.15,0.03,0.17,0.25,asphalt,normal
14:39:10.850,-0.16,-0.45,10.81,0.01,0.11,0.18,asphalt,normal
14:39:10.964,-0.73,0.28,11.39,0.02,0.19,0.18,asphalt,normal
14:39:11.071,-0.4,0.63,10.36,-0.01,0.08,0.13,asphalt,normal
14:39:11.185,-0.82,1.14,11.21,-0.04,0.1,0.08,asphalt,normal
14:39:11.293,-1.43,1.35,10.46,0.01,0.1,0.06,asphalt,normal
14:39:11.404,-2.44,2.05,10.69,-0.03,0.09,-0.02,asphalt,normal
14:39:11.511,-2.04,2.94,10.66,-0.02,0.07,-0.11,asphalt,normal
14:39:11.626,-1.41,2.36,10.78,-0.03,0.11,-0.09,asphalt,normal
14:39:11.731,-1.03,1.51,10.34,-0.02,-0.06,-0.24,asphalt,normal
14:39:11.847,0.07,2.36,9.5,0.01,-0.04,-0.36,asphalt,normal
14:39:11.953,3.14,1.03,10.61,0.0,0.01,-0.36,asphalt,normal
14:39:12.062,1.16,2.25,12.58,0.04,-0.33,-0.4,asphalt,normal
14:39:12.166,0.04,-0.62,9.08,0.02,-0.16,-0.33,asphalt,normal
14:39:12.272,-2.54,-2.12,7.8,0.01,0.18,-0.21,asphalt,normal
14:39:12.387,-1.1,-0.47,10.69,0.03,0.12,-0.17,asphalt,normal
14:39:12.507,0.03,-0.61,11.66,0.01,0.07,-0.14,asphalt,normal
14:39:12.614,0.33,-0.26,10.24,0.01,-0.02,-0.09,asphalt,normal
14:39:12.720,0.1,1.79,9.9,0.03,-0.03,-0.02,asphalt,normal
14:39:12.837,1.76,0.93,11.99,-0.02,-0.01,0.06,asphalt,normal
14:39:12.940,0.93,0.9,9.55,0.01,0.09,0.21,asphalt,normal
14:39:13.053,-4.71,1.33,12.24,0.0,0.12,0.21,asphalt,normal
14:39:13.159,-0.36,2.17,9.86,0.01,0.04,0.1,asphalt,normal
14:39:13.265,0.53,2.3,10.61,0.01,0.11,0.1,asphalt,normal
14:39:13.382,0.51,2.84,10.18,0.0,0.07,0.07,asphalt,normal
14:39:13.487,-0.99,1.68,10.86,0.0,0.12,0.07,asphalt,normal
14:39:13.600,-0.37,1.23,10.91,0.04,0.16,0.11,asphalt,normal
14:39:13.708,0.71,1.32,11.45,0.0,0.12,0.15,asphalt,normal
14:39:13.822,-0.9,-0.0,10.23,-0.04,0.18,0.19,asphalt,normal
14:39:13.932,-0.15,0.68,12.94,-0.01,0.12,0.18,asphalt,normal
14:39:14.035,0.23,0.9,9.18,-0.04,0.0,0.16,asphalt,normal
14:39:14.148,-0.51,1.88,8.12,0.02,0.2,0.27,asphalt,normal
14:39:14.253,0.55,2.43,12.66,-0.01,0.17,0.32,asphalt,normal
14:39:14.368,0.01,-1.01,6.63,-0.04,0.17,0.4,asphalt,normal
14:39:14.478,0.32,-2.25,11.28,-0.06,0.13,0.57,asphalt,normal
14:39:14.589,-1.26,-3.0,11.62,-0.11,0.26,0.69,asphalt,normal
14:39:14.703,-4.07,-1.2,9.56,-0.13,0.4,0.78,asphalt,normal
14:39:14.810,-3.37,0.11,10.74,-0.05,0.08,0.66,asphalt,normal
14:39:14.916,-3.73,2.9,11.09,-0.03,0.05,0.5,asphalt,normal
14:39:15.022,-1.44,4.27,11.31,-0.05,0.36,0.39,asphalt,normal
14:39:15.127,0.18,3.81,10.59,-0.03,0.31,0.29,asphalt,normal
14:39:15.235,0.68,5.94,11.2,0.01,0.24,0.24,asphalt,normal
14:39:15.350,-0.17,3.96,10.46,-0.01,0.34,0.26,asphalt,normal
14:39:15.457,-4.38,2.86,9.42,-0.01,0.35,0.25,asphalt,normal
14:39:15.585,-4.7,1.22,8.66,0.01,0.19,0.05,asphalt,normal
14:39:15.694,-2.61,0.29,11.32,0.04,0.12,-0.08,asphalt,normal
14:39:15.805,-2.69,-0.78,9.66,0.06,0.11,-0.19,asphalt,normal
14:39:15.916,-0.81,-0.28,13.21,0.07,0.07,-0.26,asphalt,normal
14:39:16.027,-1.52,0.63,10.05,0.09,0.0,-0.34,asphalt,normal
14:39:16.143,-1.76,1.64,12.03,0.07,0.01,-0.41,asphalt,normal
14:39:16.248,-3.26,2.19,12.1,0.05,-0.02,-0.49,asphalt,normal
14:39:16.354,-0.96,2.06,10.76,0.13,-0.1,-0.62,asphalt,normal
14:39:16.468,0.0,0.75,11.76,0.04,-0.14,-0.68,asphalt,normal
14:39:16.569,0.71,0.05,11.66,0.06,-0.09,-0.64,asphalt,normal
14:39:16.683,1.76,-0.67,8.41,0.08,-0.15,-0.6,asphalt,normal
14:39:16.793,1.14,1.25,11.16,0.09,-0.15,-0.53,asphalt,normal
14:39:16.898,0.96,0.29,10.19,0.04,0.02,-0.47,asphalt,normal
14:39:17.016,-1.26,1.09,9.65,0.01,0.2,-0.37,asphalt,normal
14:39:17.129,0.12,0.96,13.73,-0.05,0.22,-0.35,asphalt,normal
14:39:17.233,0.69,1.12,10.63,0.02,0.09,-0.34,asphalt,normal
14:39:17.343,3.07,1.11,11.07,-0.01,0.04,-0.29,asphalt,normal
14:39:17.456,1.74,-0.32,9.69,0.01,0.02,-0.24,asphalt,normal
14:39:17.565,-1.02,0.13,11.41,-0.02,0.15,-0.17,asphalt,normal
14:39:17.676,0.25,-1.14,9.77,-0.04,0.1,-0.15,asphalt,normal
14:39:17.786,-0.88,-0.96,11.55,0.02,0.07,-0.08,asphalt,normal
14:39:17.900,-1.53,0.23,9.67,-0.02,0.15,-0.05,asphalt,normal
14:39:18.008,0.7,0.77,11.31,0.01,0.11,0.0,asphalt,normal
14:39:18.115,-0.52,-0.79,9.57,0.01,0.14,0.04,asphalt,normal
14:39:18.226,-0.31,-0.21,9.95,0.07,0.11,0.02,asphalt,normal
14:39:18.341,-3.45,1.53,9.58,0.04,0.14,-0.04,asphalt,normal
14:39:18.446,2.75,2.47,11.32,0.12,-0.04,-0.05,asphalt,normal
14:39:18.558,-1.34,4.18,12.0,0.06,0.19,-0.02,asphalt,normal
14:39:18.668,-2.6,2.1,8.31,0.1,0.12,-0.09,asphalt,normal
14:39:18.774,0.73,2.34,14.15,0.03,0.15,-0.17,asphalt,normal
14:39:18.888,-3.24,-0.42,9.12,0.1,0.09,-0.25,asphalt,normal
14:39:18.998,-2.45,0.66,11.38,0.04,0.09,-0.27,asphalt,normal
14:39:19.107,0.01,-0.51,10.73,0.05,0.12,-0.25,asphalt,normal
14:39:19.219,-1.05,2.33,11.76,0.04,0.01,-0.26,asphalt,normal
14:39:19.340,-1.78,0.97,10.84,0.04,-0.05,-0.26,asphalt,normal
14:39:19.446,-3.15,1.68,12.26,0.06,-0.07,-0.29,asphalt,normal
14:39:19.561,-0.98,0.17,9.79,0.03,-0.12,-0.33,asphalt,normal
14:39:19.666,-1.02,-0.01,10.38,-0.02,-0.16,-0.39,asphalt,normal
14:39:19.780,-1.03,-3.49,10.07,0.07,-0.08,-0.38,asphalt,normal
14:39:19.890,2.25,-0.02,11.35,0.03,-0.15,-0.44,asphalt,normal
14:39:19.995,1.88,-1.87,9.35,0.03,-0.05,-0.34,asphalt,normal
14:39:20.109,-1.88,0.08,11.24,0.06,-0.08,-0.3,asphalt,normal
14:39:20.216,-2.02,-0.48,9.19,0.03,-0.06,-0.25,asphalt,normal
14:39:20.333,-2.16,1.92,10.95,0.06,-0.18,-0.2,asphalt,normal
14:39:20.438,0.16,2.85,9.46,0.03,-0.15,-0.12,asphalt,normal
14:39:20.545,-1.34,3.79,10.4,0.03,-0.27,-0.09,asphalt,normal
14:39:20.658,-0.41,1.82,10.33,0.01,-0.24,-0.08,asphalt,normal
14:39:20.766,-1.43,2.93,10.62,0.01,-0.23,-0.13,asphalt,normal
14:39:20.879,1.68,0.11,10.4,-0.03,-0.26,-0.14,asphalt,normal
14:39:20.988,0.74,0.12,9.94,0.01,-0.2,-0.11,asphalt,normal
14:39:21.099,0.74,0.86,12.47,0.04,-0.14,-0.06,asphalt,normal
14:39:21.207,1.0,1.72,11.1,-0.07,-0.15,-0.01,asphalt,normal
