timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label,bumpiness
15:00:49.204,-2.67,-2.35,10.13,-0.01,-0.01,-0.02,kiesweg,normal
15:00:49.316,-3.03,-0.73,9.27,0.02,0.02,0.01,kiesweg,normal
15:00:49.422,-1.66,0.27,10.23,0.01,0.02,0.01,kiesweg,normal
15:00:49.545,-1.22,0.37,10.37,0.0,-0.04,0.01,kiesweg,normal
15:00:49.670,-1.29,-1.05,10.07,0.0,-0.06,0.03,kiesweg,normal
15:00:49.774,-2.74,-1.76,10.08,0.01,-0.1,0.04,kiesweg,normal
15:00:49.879,-1.85,-1.97,10.04,0.02,-0.14,0.04,kiesweg,normal
15:00:49.983,-1.76,-1.06,10.67,0.03,-0.18,0.06,kiesweg,normal
15:00:50.087,-1.0,-0.33,10.21,0.03,-0.23,0.05,kiesweg,normal
15:00:50.203,1.14,4.15,6.52,0.03,-0.15,0.03,kiesweg,normal
15:00:50.313,-1.41,-4.24,13.25,-0.11,-0.29,0.01,kiesweg,normal
15:00:50.424,4.06,-0.32,9.75,0.08,0.06,0.15,kiesweg,normal
15:00:50.534,6.92,2.54,12.89,0.04,0.19,0.44,kiesweg,normal
15:00:50.642,-16.0,2.74,-0.57,-0.14,-0.18,-0.08,kiesweg,normal
15:00:50.748,6.94,1.15,13.77,0.1,0.26,-0.12,kiesweg,normal
15:00:50.862,-1.82,4.84,10.19,-0.04,0.34,0.11,kiesweg,normal
15:00:50.975,3.72,1.23,11.39,-0.01,-0.26,0.03,kiesweg,normal
15:00:51.081,0.1,0.52,8.61,0.02,0.09,0.2,kiesweg,normal
15:00:51.196,-3.51,0.57,9.17,-0.02,0.06,0.17,kiesweg,normal
15:00:51.303,-1.19,1.13,9.74,0.04,0.02,0.1,kiesweg,normal
15:00:51.411,-1.71,0.97,10.36,0.01,0.07,0.06,kiesweg,normal
15:00:51.524,-1.61,0.91,9.5,0.01,0.0,-0.0,kiesweg,normal
15:00:51.634,0.72,1.52,11.04,0.05,0.08,0.1,kiesweg,normal
15:00:51.737,-0.38,1.93,10.83,0.02,0.04,0.14,kiesweg,normal
15:00:51.850,-0.45,1.65,10.49,0.03,-0.02,0.18,kiesweg,normal
15:00:51.958,-1.23,1.03,10.82,0.05,-0.02,0.19,kiesweg,normal
15:00:52.067,-0.07,1.04,10.85,0.02,0.02,0.21,kiesweg,normal
15:00:52.174,-0.38,1.27,10.31,0.02,0.05,0.26,kiesweg,normal
15:00:52.285,-1.02,2.16,11.03,0.05,0.01,0.25,kiesweg,normal
15:00:52.387,-1.12,2.17,10.66,0.03,0.0,0.26,kiesweg,normal
15:00:52.502,-0.28,1.77,9.9,0.03,0.02,0.3,kiesweg,normal
15:00:52.615,-0.58,1.45,10.62,0.03,0.04,0.35,kiesweg,normal
15:00:52.723,-0.65,2.23,11.77,0.02,0.01,0.39,kiesweg,normal
15:00:52.835,-1.3,0.74,8.89,0.01,0.04,0.43,kiesweg,normal
15:00:52.944,-0.62,1.84,10.5,0.04,0.03,0.41,kiesweg,normal
15:00:53.051,-0.55,3.2,10.46,0.04,0.0,0.42,kiesweg,normal
15:00:53.161,-2.44,3.11,10.12,0.03,0.06,0.38,kiesweg,normal
15:00:53.271,-2.19,3.99,10.36,0.07,0.08,0.34,kiesweg,normal
15:00:53.376,-1.47,3.09,7.47,0.09,0.07,0.29,kiesweg,normal
15:00:53.483,-1.19,4.94,10.86,0.23,-0.17,0.19,kiesweg,normal
