timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label,bumpiness
14:40:52.916,2.74,-1.73,12.35,-0.01,-0.59,-0.04,asphalt,normal
14:40:53.025,-6.4,-3.12,6.64,0.07,-0.32,-0.0,asphalt,normal
14:40:53.130,-3.46,-0.37,9.24,-0.01,0.16,-0.01,asphalt,normal
14:40:53.236,16.93,8.93,14.41,0.05,-0.49,0.46,asphalt,normal
14:40:53.352,-22.94,5.76,0.5,-0.14,-0.14,0.26,asphalt,normal
14:40:53.459,9.21,0.74,8.13,-0.02,0.16,-0.17,asphalt,normal
14:40:53.564,-0.03,0.73,13.79,0.2,-0.19,-0.13,asphalt,normal
14:40:53.670,-0.7,3.45,9.41,-0.09,0.1,0.03,asphalt,normal
14:40:53.786,1.1,-2.77,13.02,0.02,-0.14,0.05,asphalt,normal
14:40:53.895,-3.53,1.93,10.51,0.02,-0.05,0.05,asphalt,normal
14:40:54.002,1.26,-0.07,11.06,-0.03,-0.02,-0.01,asphalt,normal
14:40:54.106,-0.98,2.22,10.48,0.06,-0.04,-0.09,asphalt,normal
14:40:54.220,-0.97,2.23,10.22,0.01,-0.02,-0.13,asphalt,normal
14:40:54.328,0.37,3.35,10.55,0.01,-0.12,-0.1,asphalt,normal
14:40:54.439,0.57,3.16,10.48,0.02,-0.02,0.09,asphalt,normal
14:40:54.545,-1.85,3.5,10.9,0.0,-0.07,0.14,asphalt,normal
14:40:54.654,-0.47,2.83,10.77,0.0,-0.08,0.17,asphalt,normal
14:40:54.761,-1.69,2.79,10.28,0.0,-0.09,0.13,asphalt,normal
14:40:54.870,-0.57,2.93,11.77,0.0,-0.04,0.12,asphalt,normal
14:40:54.976,-0.62,3.19,10.38,0.0,-0.1,0.1,asphalt,normal
14:40:55.089,-0.85,2.38,11.21,-0.01,-0.15,0.1,asphalt,normal
14:40:55.204,-1.07,0.93,9.17,-0.04,0.02,0.16,asphalt,normal
14:40:55.311,0.17,2.58,11.79,-0.01,0.04,0.24,asphalt,normal
14:40:55.425,0.46,3.39,10.25,-0.04,-0.09,0.21,asphalt,normal
14:40:55.535,-0.3,3.35,10.22,0.0,-0.03,0.27,asphalt,normal
14:40:55.643,-0.43,3.75,11.5,-0.08,0.07,0.33,asphalt,normal
14:40:55.753,0.98,2.34,9.73,-0.06,0.02,0.37,asphalt,normal
14:40:55.861,-1.19,4.56,11.81,-0.04,-0.01,0.38,asphalt,normal
14:40:55.971,-1.69,4.34,8.51,-0.04,0.02,0.3,asphalt,normal
14:40:56.083,-2.01,4.76,11.84,-0.01,-0.02,0.23,asphalt,normal
14:40:56.195,0.25,4.87,9.43,-0.03,0.08,0.21,asphalt,normal
14:40:56.302,0.15,3.94,11.09,-0.05,0.03,0.2,asphalt,normal
14:40:56.409,-0.06,1.36,9.56,0.01,-0.05,0.18,asphalt,normal
14:40:56.521,0.37,1.33,10.53,-0.0,0.04,0.26,asphalt,normal
14:40:56.630,-1.09,-0.71,8.88,-0.02,-0.01,0.22,asphalt,normal
14:40:56.734,-0.67,-0.99,9.9,0.02,-0.03,0.14,asphalt,normal
14:40:56.847,-1.81,-2.02,10.78,-0.03,0.08,0.03,asphalt,normal
14:40:56.951,0.15,-2.57,11.34,0.0,0.09,-0.04,asphalt,normal
14:40:57.061,-0.92,-3.05,10.77,-0.02,0.14,-0.03,asphalt,normal
14:40:57.170,-1.0,-2.82,9.9,0.02,0.03,-0.04,asphalt,normal
14:40:57.278,-1.26,-1.73,8.56,-0.02,0.07,-0.04,asphalt,normal
14:40:57.385,0.41,0.84,12.47,0.06,0.01,-0.07,asphalt,normal
14:40:57.491,2.26,1.56,11.66,0.03,0.0,-0.02,asphalt,normal
14:40:57.604,-2.34,0.84,9.45,0.06,0.11,-0.0,asphalt,normal
14:40:57.712,-0.31,2.06,11.17,0.08,0.08,0.01,asphalt,normal
14:40:57.819,0.28,0.33,11.28,0.03,0.1,0.08,asphalt,normal
14:40:57.931,0.04,-0.1,10.35,0.08,0.09,0.16,asphalt,normal
14:40:58.035,-1.48,-0.2,9.5,0.07,0.06,0.17,asphalt,normal
14:40:58.149,-1.54,-1.15,9.96,0.03,0.08,0.17,asphalt,normal
14:40:58.255,-1.25,-1.17,10.17,0.0,0.14,0.21,asphalt,normal
14:40:58.365,-2.09,-0.28,10.14,-0.01,0.11,0.17,asphalt,normal
14:40:58.480,-0.39,0.64,11.83,-0.02,0.1,0.23,asphalt,normal
14:40:58.589,-1.14,0.7,10.9,-0.05,0.03,0.27,asphalt,normal
14:40:58.700,-0.57,0.65,10.98,0.0,-0.04,0.26,asphalt,normal
14:40:58.805,-1.65,1.76,11.73,-0.09,0.08,0.31,asphalt,normal
14:40:58.920,-0.73,0.22,9.07,-0.09,0.06,0.3,asphalt,normal
14:40:59.025,-2.06,1.5,11.37,-0.03,-0.07,0.31,asphalt,normal
14:40:59.155,-0.53,2.25,11.68,-0.08,-0.04,0.34,asphalt,normal
14:40:59.256,-1.93,4.55,10.79,-0.01,0.07,0.35,asphalt,normal
14:40:59.361,-1.37,6.57,9.29,-0.01,-0.01,0.31,asphalt,normal
14:40:59.476,1.84,5.49,9.5,0.02,-0.01,0.34,asphalt,normal
14:40:59.582,-0.58,5.82,12.71,-0.09,0.34,0.42,asphalt,normal
14:40:59.689,-1.99,1.51,6.14,-0.03,0.25,0.42,asphalt,normal
14:40:59.803,-1.81,2.83,10.26,0.05,0.23,0.35,asphalt,normal
14:40:59.909,-1.88,0.57,11.78,-0.0,0.26,0.37,asphalt,normal
14:41:00.016,-2.05,-2.95,8.73,-0.02,0.33,0.4,asphalt,normal
14:41:00.130,0.52,-3.75,11.57,-0.05,0.34,0.39,asphalt,normal
14:41:00.235,-1.89,-3.46,11.03,-0.07,0.39,0.4,asphalt,normal
14:41:00.345,-2.66,-2.43,10.76,-0.03,0.32,0.37,asphalt,normal
14:41:00.450,-3.21,-0.47,10.4,-0.03,0.25,0.32,asphalt,normal
14:41:00.556,-3.07,1.55,8.69,-0.02,0.3,0.26,asphalt,normal
14:41:00.663,-1.49,2.45,9.72,0.02,0.25,0.18,asphalt,normal
14:41:00.773,-1.58,2.37,10.42,0.01,0.2,0.15,asphalt,normal
14:41:00.881,-3.4,2.83,10.56,0.02,0.2,0.11,asphalt,normal
14:41:00.997,-3.13,1.25,11.3,-0.05,0.13,0.0,asphalt,normal
14:41:01.103,-2.67,-1.93,9.93,0.01,0.21,-0.07,asphalt,normal
14:41:01.211,-1.11,-0.48,11.7,0.09,0.28,-0.14,asphalt,normal
14:41:01.324,-0.93,-0.9,11.14,0.07,0.26,-0.22,asphalt,normal
14:41:01.430,-0.96,1.25,11.09,0.08,0.14,-0.35,asphalt,normal
14:41:01.545,-1.17,1.37,9.9,0.08,0.15,-0.41,asphalt,normal
14:41:01.653,-2.69,2.27,10.13,0.07,0.06,-0.52,asphalt,normal
14:41:01.764,-0.97,2.28,11.78,0.08,0.03,-0.6,asphalt,normal
14:41:01.869,-1.69,0.94,11.65,0.01,0.05,-0.68,asphalt,normal
14:41:01.986,0.58,-2.24,11.44,0.06,-0.14,-0.86,asphalt,normal
14:41:02.099,-0.58,-0.93,9.35,0.13,-0.09,-0.94,asphalt,normal
14:41:02.205,-0.72,-2.08,9.58,0.12,-0.08,-1.01,asphalt,normal
14:41:02.320,0.82,0.31,11.89,0.14,-0.17,-0.99,asphalt,normal
14:41:02.431,2.65,-0.62,11.52,0.08,-0.22,-0.91,asphalt,normal
14:41:02.549,6.52,-0.03,10.23,0.12,-0.17,-0.61,asphalt,normal
14:41:02.655,-1.63,0.92,9.2,0.09,0.1,-0.31,asphalt,normal
14:41:02.770,0.97,1.98,10.72,0.05,-0.06,-0.2,asphalt,normal
14:41:02.878,-0.71,1.22,10.32,0.05,0.06,-0.12,asphalt,normal
14:41:02.985,-1.85,2.0,11.95,0.01,0.04,-0.1,asphalt,normal
14:41:03.100,2.97,-0.13,13.32,-0.03,0.12,-0.03,asphalt,normal
14:41:03.212,-2.71,0.2,11.25,-0.05,0.22,0.01,asphalt,normal
14:41:03.321,0.01,-0.61,9.75,-0.07,0.08,-0.01,asphalt,normal
14:41:03.428,-1.0,2.21,10.55,-0.03,0.15,0.04,asphalt,normal
14:41:03.539,-3.29,2.67,9.08,-0.07,0.18,0.06,asphalt,normal
14:41:03.653,-3.76,2.56,7.66,0.04,0.16,0.03,asphalt,normal
14:41:03.766,-3.7,5.44,9.59,0.07,0.09,-0.09,asphalt,normal
14:41:03.875,-2.09,2.69,10.18,-0.0,-0.0,-0.16,asphalt,normal
14:41:03.983,-1.37,1.23,9.68,0.11,-0.04,-0.18,asphalt,normal
14:41:04.092,-2.24,0.99,11.1,0.0,0.01,-0.21,asphalt,normal
14:41:04.198,0.04,-2.77,9.93,0.1,-0.11,-0.16,asphalt,normal
14:41:04.310,-0.45,0.85,13.19,0.08,-0.08,-0.15,asphalt,normal
14:41:04.420,-0.22,-3.14,8.62,0.05,-0.15,-0.15,asphalt,normal
14:41:04.523,-1.7,0.16,11.11,0.1,-0.12,-0.15,asphalt,normal
14:41:04.636,-2.48,-0.58,9.08,0.05,-0.08,-0.16,asphalt,normal
14:41:04.746,-4.02,2.93,12.52,0.08,-0.17,-0.25,asphalt,normal
14:41:04.853,-1.39,-0.2,10.06,0.06,-0.29,-0.31,asphalt,normal
14:41:04.958,-2.63,3.93,10.82,0.1,-0.22,-0.29,asphalt,normal
14:41:05.066,1.45,1.52,12.73,0.02,-0.27,-0.33,asphalt,normal
14:41:05.182,-0.33,0.71,9.52,0.05,-0.33,-0.34,asphalt,normal
14:41:05.283,0.15,0.97,11.27,0.05,-0.35,-0.4,asphalt,normal
14:41:05.397,-1.16,1.86,10.54,0.08,-0.32,-0.38,asphalt,normal
14:41:05.507,2.65,2.57,9.45,-0.03,-0.31,-0.32,asphalt,normal
14:41:05.619,2.44,1.33,11.14,0.01,-0.21,-0.23,asphalt,normal
14:41:05.728,3.45,3.03,12.32,-0.03,-0.58,-0.22,asphalt,normal
14:41:05.834,0.44,-2.32,8.47,-0.06,-0.02,-0.17,asphalt,normal
14:41:05.950,2.34,-0.04,9.85,0.06,-0.21,-0.16,asphalt,normal
14:41:06.055,1.15,-3.44,12.75,-0.06,0.05,-0.19,asphalt,normal
14:41:06.170,1.85,-1.54,7.43,0.01,-0.13,-0.08,asphalt,normal
14:41:06.284,0.83,-0.29,13.08,0.01,0.01,0.05,asphalt,normal
14:41:06.393,2.9,-0.05,9.71,-0.03,0.05,0.23,asphalt,normal
14:41:06.501,2.36,-0.06,10.78,-0.0,0.16,0.45,asphalt,normal
14:41:06.609,-1.63,0.51,10.31,-0.06,0.19,0.54,asphalt,normal
14:41:06.714,-0.8,0.57,11.56,0.07,0.22,0.58,asphalt,normal
14:41:06.824,0.36,2.41,9.3,0.02,0.28,0.64,asphalt,normal
14:41:06.942,-0.8,2.47,11.19,-0.02,0.25,0.7,asphalt,normal
14:41:07.052,-3.62,2.72,11.25,-0.01,0.26,0.66,asphalt,normal
14:41:07.159,-4.65,2.26,9.52,-0.07,0.26,0.6,asphalt,normal
14:41:07.264,-4.54,2.75,11.71,-0.04,0.25,0.49,asphalt,normal
14:41:07.378,-3.77,-0.67,9.03,-0.05,0.14,0.42,asphalt,normal
14:41:07.488,-4.18,0.84,10.59,-0.03,0.17,0.34,asphalt,normal
14:41:07.590,-3.05,-3.74,9.31,-0.05,0.2,0.27,asphalt,normal
14:41:07.705,-2.76,-1.52,11.43,-0.01,0.1,0.14,asphalt,normal
14:41:07.812,0.33,-3.09,10.72,-0.11,0.05,0.03,asphalt,normal
14:41:07.925,-1.96,-0.28,12.0,0.08,0.06,-0.07,asphalt,normal
14:41:08.034,-0.39,1.03,10.41,-0.02,0.05,-0.11,asphalt,normal
14:41:08.142,-0.1,0.47,8.24,-0.03,0.09,-0.05,asphalt,normal
14:41:08.251,-2.51,1.98,11.98,0.05,0.14,-0.02,asphalt,normal
14:41:08.359,1.39,2.61,10.33,-0.05,-0.32,0.08,asphalt,normal
14:41:08.464,-5.01,1.28,7.63,0.04,0.01,0.07,asphalt,normal
14:41:08.575,-1.24,3.67,11.65,0.11,-0.15,0.05,asphalt,normal
14:41:08.686,-1.87,3.36,10.97,0.01,0.16,-0.1,asphalt,normal
14:41:08.797,1.51,3.32,10.89,0.03,0.09,-0.11,asphalt,normal
14:41:08.905,2.83,3.37,11.04,0.0,0.11,-0.14,asphalt,normal
14:41:09.010,1.37,-0.35,8.96,0.07,0.04,-0.06,asphalt,normal
14:41:09.125,-2.89,0.35,9.68,-0.04,0.23,-0.04,asphalt,normal
14:41:09.233,-0.63,-6.33,7.15,-0.01,0.25,-0.13,asphalt,normal
14:41:09.344,1.21,-0.47,12.81,0.11,0.06,-0.19,asphalt,normal
14:41:09.454,1.5,-5.15,10.9,0.0,0.06,-0.19,asphalt,normal
14:41:09.563,4.59,2.76,10.94,0.08,0.35,0.13,asphalt,normal
14:41:09.673,-1.33,-1.26,9.3,-0.04,0.45,0.28,asphalt,normal
14:41:09.777,-0.33,1.9,11.49,-0.0,0.29,0.28,asphalt,normal
14:41:09.888,-1.75,1.26,9.65,0.07,0.29,0.22,asphalt,normal
14:41:09.990,-0.58,4.23,11.86,-0.04,0.23,0.09,asphalt,normal
14:41:10.096,0.0,0.64,11.59,0.13,0.35,0.13,asphalt,normal
14:41:10.204,-1.92,5.15,10.94,0.01,0.29,0.07,asphalt,normal
14:41:10.308,-3.67,-2.87,8.37,-0.03,0.22,-0.02,asphalt,normal
14:41:10.422,-3.82,2.48,13.24,0.06,0.22,-0.1,asphalt,normal
14:41:10.528,-1.19,-2.19,10.6,-0.04,0.09,-0.21,asphalt,normal
14:41:10.636,1.44,2.08,9.38,0.03,-0.32,-0.14,asphalt,normal
14:41:10.750,-7.45,-2.56,10.64,-0.04,0.38,-0.13,asphalt,normal
14:41:10.857,2.93,1.09,16.59,-0.02,-0.33,-0.16,asphalt,normal
14:41:10.964,-7.66,-2.71,9.67,0.01,0.08,-0.21,asphalt,normal
14:41:11.077,-0.52,2.02,9.2,0.01,-0.01,-0.32,asphalt,normal
14:41:11.189,0.49,-1.17,8.5,-0.02,-0.01,-0.29,asphalt,normal
14:41:11.291,-1.95,1.48,9.44,0.09,0.08,-0.29,asphalt,normal
14:41:11.402,1.87,2.36,10.1,0.02,-0.25,-0.26,asphalt,normal
14:41:11.503,-0.11,1.87,9.18,0.07,-0.21,-0.21,asphalt,normal
14:41:11.618,-1.88,2.43,11.45,0.08,-0.12,-0.18,asphalt,normal
14:41:11.724,-1.15,0.99,12.5,0.07,-0.05,-0.17,asphalt,normal
14:41:11.839,0.97,1.86,10.54,0.07,-0.21,-0.23,asphalt,normal
14:41:11.949,1.83,-0.14,10.39,0.02,-0.12,-0.19,asphalt,normal
14:41:12.059,0.86,-0.58,11.13,0.01,-0.08,-0.13,asphalt,normal
14:41:12.172,0.27,-0.45,13.43,-0.04,-0.08,-0.06,asphalt,normal
14:41:12.284,-1.33,-1.42,11.63,-0.08,-0.08,-0.09,asphalt,normal
14:41:12.408,-0.47,-3.84,9.32,-0.05,-0.16,-0.2,asphalt,normal
14:41:12.517,0.91,0.33,11.77,0.05,0.03,-0.22,asphalt,normal
14:41:12.622,-1.93,-2.28,9.64,-0.09,-0.05,-0.27,asphalt,normal
